datemin,index
2017-08-02,603825.SH
2015-07-01,603838.SH
2017-02-14,603839.SH
2017-12-01,603848.SH
2017-11-06,603856.SH
2017-08-02,603860.SH
2016-04-18,603868.SH
2017-06-14,603879.SH
2017-08-07,603880.SH
2016-12-28,603886.SH
2018-01-22,603895.SH
2015-02-17,603898.SH
2016-11-23,603900.SH
2017-03-07,603908.SH
2016-06-28,603909.SH
2017-10-23,603922.SH
2017-05-10,603926.SH
2016-12-12,603928.SH
2017-07-06,603933.SH
2017-11-02,603937.SH
2016-06-29,603958.SH
2019-04-29,603967.SH
2015-05-18,603968.SH
2017-11-16,603970.SH
2017-08-22,603976.SH
2019-05-22,603982.SH
2015-12-10,603999.SH
